,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
4,Andrzej | Halicki,PPE,PL,197514,197514," – Pani Przewodnicząca! Szanowni Państwo! 22 listopada 2020 r., trzy lata temu, przyjęliśmy rezolucję i nazwaliśmy Rosję krajem organizującym terroryzm przeciwko demokratycznym wartościom, przeciwko nam w Europie. Nie wszyscy podzielali ten pogląd. Byłem współautorem tej rezolucji. Ale w ostatnich dniach – 10 września nad Polską, a później nad duńskimi lotniskami, nad Monachium, myśliwce nad Estonią, codziennie na Bałtyku – mamy dowody: tak, Rosja w sposób terrorystyczny atakuje Europę.
I nie możemy być bezbronni. Cieszę się, że ta inicjatywa pani przewodniczącej Ursuli von der Leyen i Andriusa Kubiliusa, komisarza ds. bezpieczeństwa, o ścianie antydronowej, to jest jeden z elementów koniecznej odpowiedzi. Bo Rosja rozumie tylko siłę. Solidarne i jednolite stanowisko wszystkich państw członkowskich, ale także NATO – tę odpowiedź Rosja dostała 10 września: samoloty zostały zestrzelone, NATO zareagowało, jesteśmy razem.
Ale musimy być dużo sprawniejsi. Dlatego apeluję także o aktywność w sieci. Rosja używa cyberarmii. Musimy blokować i eliminować tych, którzy działają na rzecz Rosji w sieci. Agenci są także tu, na tej sali. Mówią: to nie nasza wojna. Chcą, żebyśmy byli słabi.
Przemysł zbrojeniowy potrzebuje wsparcia nie tylko budżetowego. Apeluję do Komisji i do komisarza Serafina, Andriusa Kubiliusa, ale także do komisarza Hoekstry: zdejmijmy system ETS z produkcji stali, chemikaliów – one są niezbędne do produkcji zbrojeniowej. To nie jest duży wysiłek ekonomiczny, a potrzebna jest nowa legislacja: przemysł zbrojeniowy bez ETS-u.",au nom du groupe
5,Iratxe | García Pérez,S-D,ES,28298,28298," – Señora presidenta, quiero comenzar expresando toda nuestra solidaridad con Ucrania, que resiste desde hace más de tres años la agresión rusa, y con todos los países europeos que han visto cómo el régimen de Putin ha violado su espacio aéreo, saboteado sus infraestructuras y puesto en riesgo la vida de sus ciudadanos. Cada dron ruso que sobrevuela nuestra unión es una advertencia, y es que Putin no se detendrá.
Hace mucho tiempo que lo dijimos: el apaciguamiento no funciona con los dictadores. No funcionó en el pasado y no funcionará ahora. Putin nunca quiso la paz: ni en Georgia, ni en Crimea, ni en el Donbás, ni hoy en el conjunto de Ucrania. Putin solo negociará cuando sienta que está perdiendo. Por eso debemos ayudar a Ucrania a ganar esta guerra.
Señora Von der Leyen, ha llegado el momento de presentar una propuesta para confiscar los 200 000 millones de euros de activos rusos congelados. Y el Consejo debe asumir su responsabilidad y autorizar a Ucrania a utilizar armas occidentales contra todos los objetivos militares desde donde Rusia lanza sus ataques porque no hay tiempo que perder. Este es un momento decisivo y solo la Unión Europea puede garantizar la supervivencia de Ucrania, y de la supervivencia de Ucrania depende también nuestra propia seguridad.
Pero no basta con ayudar. La Unión Europea también debe fortalecerse. Necesitamos una industria europea de defensa capaz de actuar, un pilar europeo dentro de la OTAN, un sistema común de defensa aérea y antidrón, y una mayor innovación, ciberseguridad y producción común.
Putin desafía nuestra libertad, pero nuestra respuesta debe ser más Europa. Una Europa fuerte, unida, y capaz de proteger su cielo, su tierra y su futuro.
No temamos el ruido de los drones. Respondamos con la fuerza de nuestra unión.",au nom du groupe
6,Pierre-Romain | Thionnet,PfE,FR,200345,200345," – Madame la Présidente, Monsieur le Commissaire, vous le savez, nous sommes fermement attachés à la souveraineté des États, au respect de l'intégrité territoriale et au caractère inviolable des frontières. C'est donc sans ambiguïté que nous dénonçons les violations de l'espace aérien des pays européens alliés commises par la Russie.
Cette fermeté doit s'accompagner de lucidité et de proportionnalité. Les déclarations outrancières qui assimilent toute intrusion à un acte de guerre ou appellent à abattre n'importe quel objet volant sont contreproductives et masquent les vrais enjeux. Les outrances alimentent la propagande du régime russe, qui souhaite présenter les pays victimes des violations comme des pays responsables d'une escalade. Les outrances installent un climat de peur, qui gêne bien plus qu'il ne facilite la mise en œuvre des politiques militaires ambitieuses. Face aux violations de l'espace aérien sur le flanc est, des procédures existent, pleinement maîtrisées par nos forces armées et notamment par nos pilotes. Évitons donc toute manifestation de panique et toute forme de paranoïa castratrice.
Nous ne sommes pas en guerre avec la Russie, et c'est tant mieux. Mais nous ne sommes pas en paix non plus. Ces catégories n'ont pas disparu, mais la guerre et la paix sont deux pôles extrêmes entre lesquels existe une zone grise, faite d'états intermédiaires, au sein de laquelle chacun cherche à imposer à l'autre sa volonté. C'est dans cette zone grise, cette «paix-guerre», où nous nous trouvons avec la Russie, où toute incitation inutile à commettre l'irréparable est à proscrire, mais où il faut se garder d'être tétanisé par les menaces de guerre totale brandies par Moscou pour nous empêcher d'agir.
Car ne nous y trompons pas: l'invasion militaire n'est pas la seule option dont dispose un État pour imposer sa volonté à d'autres. Lorsqu'on parle de guerre de nouvelle génération, on oublie bien souvent de rappeler que les maîtres de cette stratégie ne résident pas seulement dans quelques think tanks occidentaux, mais qu'ils existent en Russie, où a aussi été pensée une doctrine du contournement de la lutte armée pour atteindre des objectifs stratégiques, et dont l'Ukraine a été un terrain d'essai idéal avant 2014.
Alors que faire? Dissuader. Dissuader grâce au rôle potentiel et au rôle actif de nos forces armées. Dissuader en faisant comprendre à l'adversaire potentiel que ses capacités de nuisance sont limitées, ce qui passe aussi par la cohésion interne de nos sociétés. Dissuader en tournant définitivement la page des 30 piteuses dernières années où, non contents d'avoir proclamé la fin de l'Histoire, nous avons aussi annoncé la fin du territoire. Or, le territoire fait son grand retour et avec lui, la nécessité de le protéger, de le rendre robuste et résilient, non seulement contre les groupes djihadistes, mais aussi contre les opérations d'État contestataires ou hostiles.
Dissuader, c'est empêcher de nuire, et c'est ce que nous devons être capables de produire en Europe à l'égard de la Russie. Ni élan de va-t-en-guerre, ni «munichisme larmoyant», pour reprendre la formule du général de Gaulle à propos de ceux qui voulaient céder aux pressions de Khrouchtchev.
Dissuasion, donc, car la guerre n'est pas souhaitable et car la paix n'est pas encore possible.",au nom du groupe
7,Adam | Bielan,ECR,PL,23788,23788," – Szanowna Pani Przewodnicząca! Rosja podejmuje coraz bardziej wyrafinowane próby wywierania presji na kraje Zachodu. Ostatnie tygodnie pokazują dobitnie, że agresywna polityka Kremla nie zna granic, dosłownie i w przenośni. Naruszenia przestrzeni powietrznej Polski i innych państw Unii Europejskiej, sabotaż elementów infrastruktury krytycznej, w tym systemów energetycznych i telekomunikacyjnych, jak też celowe działania dezinformacyjne świadczą o całkowitym lekceważeniu prawa międzynarodowego.
Jest to skrupulatnie zaplanowana strategia destabilizacji naszych krajów i zastraszania społeczeństw, konsekwentny atak wymierzony w integralność i bezpieczeństwo całego wolnego świata, atak wymagający stanowczej i zdecydowanej odpowiedzi. Każda próba naruszenia bezpieczeństwa musi się spotkać z natychmiastową, skoordynowaną reakcją państw Unii Europejskiej i NATO.
Nie ma zgody na testowanie naszych granic, naszej cierpliwości i solidarności. Niejednokrotnie w naszej historii lekceważenie nawet drobnych incydentów prowadziło do wielkich tragedii. Polska i inne kraje Unii Europejskiej, państwa, które przez dekady doświadczały przemocy rosyjskiego imperializmu, doskonale rozumieją wagę odpowiedzi na prowokacje. Niestety nie wszystkie państwa członkowskie prowadziły politykę w duchu właściwie pojmowanego interesu Europy. Tak zwany reset z Rosją, w rzeczywistości polegający na gospodarczym i politycznym uzależnieniu od Moskwy oraz sponsorowaniu antyeuropejskich przedsięwzięć jak Nord Stream, to kamienie milowe na drodze do wojny.
Kiedy dziś nad Berlinem, Brukselą czy Kopenhagą widzimy rosyjskie drony, pomyślmy o miliardach euro przepompowanych na wschód przez Gerharda Schrödera i Angelę Merkel, tak, tę Angelę Merkel, nieudolnie próbującą dziś zrzucić z siebie odpowiedzialność, kuriozalnie insynuującą niewłaściwe zaangażowanie państw kontestujących jej niewłaściwą politykę.
Dziś również rząd niemiecki domaga się wydania osób odpowiedzialnych za unicestwienie tej haniebnej inwestycji, jaką jest Nord Stream. Dlatego chciałbym przypomnieć kanclerzowi Merzowi, że Ukraina znajduje się w stanie wojny z Rosją, ponieważ została napadnięta. Ukraińcy mają pełne prawo atakować zarówno rosyjskie rafinerie, jak i sieci przemysłowe i przesyłowe. A nam pozostaje ich wspierać, a nie za to karać.",au nom du groupe
8,Valérie | Hayer,Renew,FR,135511,135511," – Madame la Présidente, Madame la ministre, chers collègues, nous sommes à un moment de vérité pour l'Union européenne. Nous ne sommes plus en paix. Nous ne sommes pas en guerre non plus. Nous sommes dans cet entre-deux qui s'appelle la guerre hybride.
Chaque jour, la Russie mène contre nous des ingérences, des cyberattaques, des sabotages. Elle nous survole avec des drones et des avions de chasse. Ces menaces, nous les connaissons. Je ne vous apprends rien. Mais nos réactions ne sont toujours pas à la hauteur.
Chers collègues, nous devons assumer la confrontation avec la Russie. Nous devons monter d'un cran dans notre réponse – je dirais même, dans notre riposte. Car, chers collègues, si nous voulons la paix, Poutine ne comprend qu'une chose: la force. Si nous voulons être libres, il faut être craints. Et pour être craints, il faut être puissants.
Être puissants, c'est augmenter les budgets consacrés à la défense de nos États membres. Ils se sont engagés à le faire dans un temps record d'ici 2030. Mais je le demande au Conseil: Madame la ministre, quand sortirons-nous pleinement de nos dépendances? Nous devons avoir la maîtrise de la fabrication et de l'usage de nos armes pour enfin poser les fondations d'une souveraineté européenne sur la défense. Être puissants, c'est accroître nos investissements dans les infrastructures pour le déploiement de matériel militaire. Être puissants, c'est ériger un bouclier aérien au dessus de l'Union européenne et de l'Ukraine. C'est renforcer nos capacités de défense aérienne et la surveillance du flanc oriental. Être puissants, c'est être capable d'abattre tout drone qui porterait un danger immédiat contre nous. C'est aussi sanctionner Viktor Orbán qui envoie des drones hongrois dans le ciel ukrainien. C'est scandaleux!
Être puissants, c'est utiliser la valeur totale des avoirs russes gelés pour soutenir l'Ukraine. Je m'adresse aux Ukrainiens, aux Moldaves, aux Estoniens, aux Polonais, ou encore aux Roumains. Que vous apparteniez ou non à l'Union européenne, vous n'êtes pas seuls, parce que votre sécurité est la sécurité de tous les Européens. Je m'adresse aussi à ceux qui prétendent que nous exagérons et que nous sommes des va-t-en-guerre. Les menaces nous concernent tous, tous nos pays membres. De Madrid à Narva, de Dublin à Gołdap.
C'est pour cette raison que la Russie de Poutine doit avoir une certitude: qu'elle cesse les provocations et sa guerre hybride contre nous. Car nous sommes plus forts qu'elle. Bien plus forts.",au nom du groupe
9,Terry | Reintke,Verts/ALE,EN,103381,103381," – Madam President, dear Commission President, dear Minister, dear colleagues, the European Union is built on solidarity, so first and foremost, I want to say that we stand with all the people who are at the moment feeling the Russian threat the most. These are the people living in the frontline states, in the Baltics, in Poland and Finland. It has to be clear – when one of us gets attacked, we all get attacked, and we will be at your side in these difficult times.
For that, we need European strength right now, because Putin will not succeed in weakening Europe by spreading fear. That's exactly the aim of all the things that are happening right now. This will only forge a stronger solidarity between European citizens. We will resist this threat together. This means that rightfully, at the eastern flank, we need a drone defence network, and across all of the European Union, we need better protection against drones, whether it's at our airports, power plants or other critical infrastructure.
This means we finally have to phase out dirty Russian energy imports. In August 2025 alone, EU Member States still spent over EUR 1 billion on Russian fossil fuels. Colleagues, this has to stop – they are using this money to wage war against Ukraine and threaten the rest of the European Union. This means it is not European citizens that should pay for Putin's war, but Putin himself. It is high time that we make full use of the frozen Russian assets – make Putin pay for the damage he has done in Ukraine and all of Europe.
Finally, colleagues, Ukraine belongs in the European Union. In the past years, it has become more than crystal clear that there is actually no place in Europe where people long for our vision of freedom and democracy more than in Ukraine. So let's make it happen as soon as possible. I want Ukrainian colleagues to sit here in this chamber and to discuss and fight with us for a stronger Europe together.",au nom du groupe
10,Danilo | Della Valle,The Left,IT,257155,257155," – Signora Presidente, onorevoli colleghi, qualche giorno fa abbiamo scoperto che anche l'ex cancelliera Merkel è una pericolosa putiniana, perché pubblicamente ha sostenuto che Polonia ed Estonia hanno impedito il dialogo con la Russia prima dell'invasione del 2022, confermando quello che sosteniamo di fatto da sempre, vale a dire che l'Unione europea è ostaggio di una leadership pericolante e morente, che ci sta spingendo tutti alla terza guerra mondiale solo per coprire la propria inadeguatezza.
Classe dirigente - la Sua Presidente - amplificata dai media mainstream che diffondono spesso fake news, come la Russia, con il solo intento di generare paura e panico tra la popolazione, per far passare proposte politiche che non hanno nessun tipo di consenso tra gli elettori, come ad esempio il ReArmEU.
Siamo passati dall'invasione russa di Lisbona, programmata per il 2029, fino ai droni che ormai volano liberi per i cieli di mezza Europa. Eppure, l'attentato russo al Nord Stream era in realtà ucraino. L'attacco di droni russi alla Polonia del 13 settembre è stato smentito dalle stesse autorità polacche e NATO, e anche il sabotaggio del Suo aereo in realtà era una bufala.
Come si dice in Italia, a pensar male spesso ci si indovina, e qui sembra davvero che qualcuno non veda l'ora di far nascere l'incidente, di portarci tutti in guerra e mandare al massacro migliaia di giovani in nome degli interessi di banchieri e lobbisti. Ma mandi i suoi figli in guerra, se ci tiene tanto.
I cittadini europei non credono più alle politiche guerrafondaie, e non certo perché lo dice Putin, ma perché sono stanchi delle bugie, dell'austerità, di dover rinunciare a sanità, trasporti e salari degni in cambio di missili e jet.
Io lo so che per voi che avete un'impostazione colonialista e suprematista è difficile, ma i popoli europei hanno bisogno di pace e di costruire un mondo multipolare e non certo della guerra.",au nom du groupe
11,Milan | Uhrík,ESN,SK,197763,197763," – Zase tu máme ďalšiu diskusiu o vojne, o strachu, o zbraniach a o vojenských výdavkoch. Pani Leyenová, uvedomujete si však, prosím vás, aké ťažké je pre ľudí zabezpečiť si dnes bývanie, zaplatiť všetky tie účty? Aké ťažké je pre mladých ľudí získať hypotéku, aby si mohli zabezpečiť štyri steny, ktoré musia splácať potom celý život? A Európska únia tieto problémy prakticky vôbec nerieši. A ak áno, tak len pre nejaké marginalizované skupiny. A namiesto toho tu neustále dookola počúvame o tom, ako treba vyčleniť stovky miliárd eur na vojenské výdavky na zbrane. Počúvame tu diskusie o vyvolávaní strachu, ktoré majú podobne ako za covidu obhájiť tie stá miliardové výdavky na bruselské kšefty. Pani Leyenová, ja vám poviem, možno pre vás novinku, ale Európania neočakávajú a nechcú od Bruselu rakety a náboje, ale mier, prosperitu a hospodársku spoluprácu.",au nom du groupe
12,Esteban | González Pons,PPE,ES,125027,125027," – Señora presidenta, pasé el 27 de septiembre en Kiev, bajo uno de los mayores bombardeos rusos de este año —seiscientos drones y cincuenta misiles—, y entendí que la guerra de Ucrania para Putin es solo el ensayo para su guerra en Europa. El escudo antidrones envió un mensaje de unidad muy claro, pero seamos conscientes de que un dron se construye y gobierna desde cualquier parte, también desde detrás del muro, desde el interior de nuestras propias ciudades.
Mientras nosotros hablamos de los millones que invertiremos en proyectos plurianuales de defensa, en los campos de batalla de Ucrania, los pequeños drones dominan el frente. Ni siquiera los carros de combate se les resisten. En Ucrania, los ratones hacen huir a los elefantes, pero nosotros seguimos pensando en elefantes. Si Putin nos ataca, no lo hará con un misil, sino con un dron sin bandera, casi indetectable, con autonomía suficiente para salvar largas distancias y explotar en cualquier punto estratégico, y estará diseñado no por una gran compañía, sino por un grupo pequeño de estudiantes.
Nosotros lo llamamos guerra híbrida, pero, para Putin, es pura y simplemente guerra. No busca ganar territorio, sino influencia. No quiere reconstruir la URSS, sino el Pacto de Varsovia. En el mundo de Putin, la guerra abierta sustituye a la disuasión, y, si nosotros no le mostramos que estamos dispuestos a responder, si no le demostramos que estamos preparados para darle una respuesta, no seremos capaces de disuadirle.
Gracias por su compromiso en este sentido, señora presidenta.",
13,Γιάννης | Μανιάτης,S-D,EL,256824,256824," – Κυρία Πρόεδρε, κυρία Πρόεδρε της Επιτροπής, αυτό που συνέβη τις προηγούμενες εβδομάδες είναι απαράδεκτο. Η Ρωσία δοκιμάζει τις δυνατότητες και τις αντοχές μας και, δυστυχώς, αποδείχθηκε ότι δεν είμαστε έτοιμοι. Ως Ευρώπη πρέπει να προσαρμοστούμε άμεσα στις νέες τεχνικές πολέμου. Δεν είναι ούτε βιώσιμο ούτε αποτελεσματικό να καταρρίπτουμε drones μερικών χιλιάδων ευρώ με πυραύλους εκατομμυρίων. Πρέπει να μάθουμε από την Ουκρανία και να προσαρμοστούμε. Να επενδύσουμε στην παραγωγή drones αλλά και στην αντιμετώπισή τους.
Θέλουμε μια Ευρώπη που να μπορεί να προστατεύει αποτελεσματικά τα σύνορα και τις βασικές υποδομές της από τρίτες χώρες. Όμως, τα ευρωπαϊκά σύνορα δεν εκτείνονται μόνο από τη Βαλτική μέχρι και τη Μαύρη Θάλασσα· τα ευρωπαϊκά σύνορα συνεχίζονται και στο Ανατολικό Αιγαίο και στην Ανατολική Μεσόγειο. Θέλουμε, λοιπόν, κοινά μέτρα, όπως το Drone Wall, που θα καλύπτουν όλα τα κράτη μέλη και όχι μόνο κάποια.
Δεν είναι μόνο η Ρωσία που παραβιάζει τον ευρωπαϊκό εναέριο χώρο και προκαλεί. Από την 1η Ιανουαρίου 2025 μέχρι και σήμερα, η Τουρκία έχει παραβιάσει 167 φορές τον ελληνικό εναέριο χώρο, άρα τον ευρωπαϊκό εναέριο χώρο. Συνολικά τα συμβάντα που έχουν σημειωθεί στο νοτιοανατολικό Αιγαίο ξεπερνούν τα 500. Δύο φορές μάλιστα με οπλισμένα μαχητικά. Γι' αυτό, λοιπόν, ζητάμε όλες οι παραβιάσεις να αντιμετωπίζονται με τον ίδιο τρόπο και όλα τα σύνορα να προστατεύονται με τον ίδιο τρόπο. Αυτό σημαίνει ευρωπαϊκή αλληλεγγύη στην πράξη.",
