,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
4,Sabine | Verheyen,PPE,DE,96756,96756," – Frau Präsidentin, sehr geehrte Kolleginnen und Kollegen! Die EU steht an einem entscheidenden Punkt. Es geht um die Zukunft unserer audiovisuellen Medienlandschaft und um die Frage, ob wir in der globalen Konkurrenz unsere kulturelle Identität bewahren können. Die AVMD ist kein bürokratisches Hindernis, sondern ein Ausdruck europäischer Souveränität. Sie schafft faire Bedingungen auf einem Markt, der längst global ist.
Wenn amerikanische Plattformen und Streaming-Dienste in Europa tätig sind, dann profitieren sie von unserem Publikum, unseren Kreativen, unserer Infrastruktur – und wer bei uns auf dem europäischen Markt mitspielt, muss sich auch an europäische Regeln halten. Das ist keine Wettbewerbsverzerrung, sondern ein legitimes politisches Instrument, um den Markt auszugleichen und sicherzustellen, dass europäische Inhalte auch sichtbar bleiben. Wir wollen keinen Kulturkampf mit den USA, aber wir dürfen unsere eigene Kultur dabei auch nicht opfern.
Enttäuschend ist, dass sich die Kommission nach den jüngsten Ankündigungen aus Washington nicht klarer zur AVMD positioniert hat. Wir brauchen jetzt ein starkes, geeignetes Signal. Europa bleibt offen, wettbewerbsfähig und selbstbewusst und verteidigt dabei das, was uns ausmacht: unsere kulturelle Vielfalt.",au nom du groupe
5,Hannes | Heide,S-D,DE,197682,197682," – Frau Präsidentin, Herr Kommissar! Der europäische Film gehört nicht auf Trumps Verhandlungstisch. Der US‑Präsident droht mit einem 100-Prozent‑Zoll auf europäische Filmproduktionen. Die Ansicht, die europäischen Regelungen seien protektionistisch, soll wohl davon ablenken, dass es genau umgekehrt ist, weil schon 1918 die US‑Gesetzgebung für eine Regelung sorgte, um die globale Reichweite der Filmindustrie zu erhöhen. Amerikanische Produktionen dominieren Kino und Fernsehen in Europa, große US‑Konzerne beherrschen den europäischen Kinomarkt zu 70 Prozent.
Die Richtlinie über audiovisuelle Mediendienste ist gerade deshalb ein legitimes Instrument zur Stärkung unseres heimischen, wirtschaftlich bedeutenden Kultur- und Kreativsektors. Sie ist definitiv keine Handelsbarriere. Ihre Maßnahmen sind von höchstem öffentlichen Interesse. 30-Prozent-Quoten für europäische Inhalte, Investitionspflichten und die Förderung unabhängiger Produktionen garantieren Kreativität, kulturelle Vielfalt und Medienpluralismus in Europa, bewahren und fördern unsere Souveränität und Vielfalt. Die Richtlinie schafft zudem faire Bedingungen zwischen Sendern, Streamingdiensten und Videoplattformen, schützt zugleich minderjährige Verbraucherinnen und Verbraucher und die Meinungsfreiheit.
Audiovisuelle Dienste bislang aus den Verhandlungen auszuschließen, war richtig und ist auch im Interesse der USA. Diese kulturelle Ausnahme hat jedenfalls in Handelsverträgen berücksichtigt zu werden. Die Kommission muss daher diese Richtlinie entschlossen verteidigen.",au nom du groupe
6,Catherine | Griset,PfE,FR,94649,94649," – Madame la Présidente, mes chers collègues, Hollywood n'a pas besoin d'aide pour s'imposer en Europe. Il écrase déjà nos écrans, nos salles, nos plateformes. Le cinéma européen, lui, est relégué au second plan, tant dans les salles de cinéma que sur les services de streaming. Seule l'exception culturelle âprement défendue par la France, trop souvent isolée ailleurs, a permis de maintenir notre production.
Cette politique impose aux plateformes de diffuser au moins 30 % d'œuvres européennes et de contribuer au financement de notre création. C'est crucial lorsque 85 % du temps d'écran est accaparé par trois services de streaming américains. Ces dispositions sont un filet de sécurité indispensable au moment où l'administration américaine menace de taxer à 100 % nos œuvres. Cette résolution réaffirme également la compétence des États membres en matière culturelle et le principe de subsidiarité inscrit dans les traités. Ce respect de notre souveraineté est suffisamment rare pour être salué.
Au final, je me réjouis que ce texte s'inspire de l'exception culturelle française et je forme un vœu: que, demain, nous puissions porter ce quota d'œuvres européennes de 30 à 50 %, comme le demande le Centre national du cinéma. Car défendre nos créateurs, c'est défendre notre identité et donc notre liberté.",au nom du groupe
7,Lara | Magoni,ECR,IT,257149,257149,"player stranieri.
Senza questa tutela rischiamo di perdere il controllo sulle nostre politiche culturali e di vedere marginalizzate le produzioni europee. I dati parlano chiaro: nel 2023 il 69% degli ingressi al cinema in Europa riguardava film statunitensi, mentre l'85% del tempo speso sulle piattaforme di video è concentrato su pochi colossi americani. Questa predominanza rappresenta una sfida concreta alla nostra capacità di sostenere un mercato audiovisivo veramente europeo e pluralista.
Difendere la direttiva non significa chiudersi al mondo ma preservare la nostra identità culturale in un contesto globale. Allo stesso tempo, dobbiamo evitare escalation inutili e mantenere un dialogo aperto con i nostri partner transatlantici.
Proteggere la cultura europea è una responsabilità che ci riguarda tutti e richiede decisione, equilibrio e lungimiranza.",au nom du groupe
8,Laurence | Farreng,Renew,FR,197589,197589," – Madame la Présidente, Monsieur le Commissaire, chers collègues, Donald Trump a une obsession, attaquer nos lois européennes pour nous déstabiliser. Après les offensives sur le climat, le commerce, la défense, l'industrie ou encore notre agriculture, Donald Trump persiste et signe et remet désormais en cause notre modèle culturel.
En février dernier, l'administration Trump, bien aidée par les «majors» du cinéma et de la vidéo à la demande, a publié un document recensant toutes les barrières au bon développement du business américain. Parmi les lois dénoncées, on trouve la directive «Services de médias audiovisuels», la pierre angulaire de la diversité culturelle sur les plateformes de vidéo à la demande. Elle nous permet, depuis 2019, de faire contribuer Netflix, Disney, Amazon et autres à la production et à la diffusion de séries et de films européens.
Le sens de la résolution que nous votons aujourd'hui est de combattre ces attaques répétées, qui sont renforcées à nouveau par cette nouvelle menace de taxer à 100 % tous les films réalisés hors des États-Unis. Ce que le président américain attaque, c'est notre modèle culturel européen qui parvient à exprimer sa singularité face à Hollywood et à son hyperpuissance.
Dans ces conditions de guerre culturelle, peut-on vraiment imaginer faire confiance à Donald Trump pour tenir sa parole dans les accords commerciaux que nous discutons en ce moment?
Désolée, M. le président, mais nous continuerons à défendre nos talents, nos Palmes d'or, nos Ours d'or, nos Lions d'or, qu'ils soient franco-iraniens, suédois, danois, espagnols.",au nom du groupe
9,Diana | Riba i Giner,Verts/ALE,ES,197832,197832,"La zona de interés o Alcarràs en ningún catálogo?
Gracias a esta Directiva, las plataformas que operan en Europa deben ofrecer al menos el 30 % de obras europeas y contribuir a financiar nuevas producciones. Porque nuestras películas y series no solo son entretenimiento. Son la forma en que entendemos el mundo. Y eso es Europa: maneras diversas de mirar, contar y crear.
Nuestro mensaje es simple: proteger el audiovisual catalán, francés o polaco y garantizar que se puedan ver en nuestras lenguas y en toda Europa. Es la primera línea de defensa de nuestra soberanía cultural. Porque esto no es solo un negocio. Y quien quiera operar en Europa debe respetar nuestras reglas. Algunos dicen que quieren hacer un Hollywood great again, y nosotros les decimos que Europe is already great.",au nom du groupe
10,Volker | Schnurrbusch,ESN,DE,267485,267485," – Frau Präsidentin, meine Damen und Herren! Die Richtlinie für Medien soll europäische Produzenten schützen. Das ist gut, denn viele Unternehmen haben es schwer, gegen die US‑Konkurrenz zu bestehen. Es ist daher richtig, dass Filme nicht wie Stahl oder Autos im Zollstreit mit Amerika behandelt werden dürfen.
Doch es ist falsch, US‑Programmanbieter nur als Bedrohung zu sehen. Denn längst sind es ja Amazon, Netflix und andere, die Filme und Serien in Europa von europäischen Teams und Kreativen herstellen lassen. Auch europäische Inhalte werden transportiert, sodass wir froh über diese Bereicherung sein können.
Wir in Europa müssen uns stattdessen fragen, warum wir überhaupt Quotenregelungen brauchen. Liegt es vielleicht daran, dass unser Selbstgedrehtes zu überfrachtet ist mit Diversitätsauflagen, dass die Wirklichkeit verzerrt, der Zeigefinger auch im Fiktionalen erhoben ist? Wir haben eine lebendige Produzentenlandschaft in Europa, die es wert ist, erhalten und auch gefördert zu werden. Aber bitte nicht nach politischen, sondern künstlerischen oder journalistischen Kriterien.
Diese Entschließung bringt nicht viel Neues und soll wohl nur ein Zeichen gegen Trump sein. Der wichtigste Satz darin lautet: Kulturpolitik ist Sache der Mitgliedstaaten. Und dabei soll es auch bleiben!",au nom du groupe
11,Sunčana | Glavak,PPE,HR,202036,202036," – Poštovana predsjedavajuća, kolegice i kolege, kada govorimo o kulturi, ne govorimo o trgovini.
Govorimo o jeziku, o načinu na koji vidimo svijet, o tome tko smo. A upravo je naš europski identitet u digitalnom prostoru ugrožen. Više od 65% posto prihoda tržišta videa na zahtjev u Europi ostvaruju tri velika neeuropska servisa, Netflix, Amazon Prime i Disney Plus. Europski sadržaji, iako čine oko 30-ak % ponude u katalogu, tek su 16% ukupnog vremena. Drugim riječima, više od 80% vremena koje europski građani provode gledajući sadržaj, provode uz neeuropske programe.
Direktiva o audiovizualnim medijskim uslugama nije prepreka tržištu, nego alat kojim Europa štiti svoj glas, u Italiji, u Njemačkoj, u Poljskoj, u Hrvatskoj. Bez nje europski autori, redatelji i producenti bili bi preplavljeni globalnim sadržajem koji dominira našim ekranima. U tom smislu, Direktiva ne podiže zidove, već otvara vrata. Kada Europska unija traži 30% sadržaja na platformama da bude europskog podrijetla, to nije birokratska kvota, to je obrana naše kulture.
I zato pozivam Komisiju i države članice da u Transatlantskom dijalogu čvrsto i jedinstveno brane obveze iz ove Direktive.",
12,Marcos | Ros Sempere,S-D,ES,204413,204413," – Señora presidenta, la cultura es una cuestión de soberanía. Nuestra soberanía y nuestra independencia se construyen con la cultura.
Por eso hoy no hablamos solo de una Directiva, hablamos de defender la Unión Europea frente a quienes quieren imponer sus reglas por la fuerza. Las amenazas de Trump, con su impuesto del 100 % a las producciones europeas, son un ataque directo a nuestra libertad cultural.
La Directiva de Servicios de Comunicación Audiovisual garantiza condiciones justas entre creadores y plataformas, al tiempo que protege a los menores, los consumidores y la libertad de expresión; exige que los servicios de la carta incluyan al menos un 30 % de obras europeas en sus catálogos y permite a los Estados miembros imponer contribuciones financieras a aquellas plataformas extranjeras que se dirijan a su público. Esta Directiva es un escudo para proteger la diversidad, el pluralismo y el derecho de los europeos a ver historias contadas en nuestras lenguas, con nuestras voces y nuestras realidades.
Defendamos nuestra cultura y nuestra independencia. Nuestra producción audiovisual no es moneda de cambio.",
13,Guillaume | Peltier,ECR,FR,30123,30123," – Madame la Présidente, jamais je ne plierai le genou devant la religion des médias. Je ne vous demanderai pas pardon d'être Français, père et chrétien, et je continuerai à blasphémer face aux gourous de l'Arcom. Je préfère l'angélus de mon église au vacarme de vos écrans, ma patrie à Bruxelles, mon prochain à vos lointains.
Je préfère les paysans aux écolos, les PME au RSA, le travail au social, le Tour de France à France Inter, le Puy du Fou à Hollywood, Molière, Cyrano ou Astérix à vos homélies de nomade non binaire. Je préfère l'amour courtois à votre guerre des sexes, Notre-Dame et Jean-Paul II à vos destins de feuilles mortes, Donald Trump à vos amis Macron et Mélenchon, l'impertinence à votre servilité.
Je préfère la France d'avant à votre monde d'après. Notre seul tort est d'avoir raison avant vous et sans vous. Mais nous avons 2 000 ans d'avance. Vous êtes la cendre qui s'éteint, nous sommes le feu qui ne meurt jamais. Alors éteignons vos écrans et ouvrons nos livres.",
