,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
4,Ελεονώρα | Μελέτη,PPE,EL,256943,256943," – Κύριε Πρόεδρε, καταπολέμηση της έμφυλης βίας, αναπαραγωγικά δικαιώματα, ισότητα στην εργασία, στην εκπαίδευση, στην υγεία: όλα είναι θέματα σύγχρονα και σημαντικές προτεραιότητες του χάρτη πορείας για τα δικαιώματα των γυναικών. Όμως ξέρετε ποια είναι η πιο συχνή ερώτηση που δέχεται σήμερα η γυναίκα; Το αν συνδυάζεται η εργασία με τη μητρότητα. Ξέρετε ποια είναι η σωστή απάντηση σε αυτή την ερώτηση; Δεν υπάρχει. Ό,τι και να κάνει η γυναίκα, θα κριθεί. Αν η νέα μητέρα θέλει να γυρίσει στη δουλειά της, θα κριθεί ως μια φιλόδοξη καριερίστα που δεν νοιάζεται για το παιδί της. Εάν πρέπει για βιοποριστικούς λόγους να εργαστεί, θα κατηγορηθεί γιατί έκανε παιδί, ενώ δεν μπορεί να το μεγαλώσει. Αν δεν κάνει παιδί, θα στοχοποιηθεί. Αν σκίζεται σε χίλια κομμάτια, για να τα καταφέρει όλα, πάντα θα υπάρχουν εκείνοι που θα την πνίγουν στις ενοχές που αφήνει το παιδί της για τη δουλειά της.
Η ισορροπία ανάμεσα στην επαγγελματική και την οικογενειακή ζωή δεν είναι πολυτέλεια. Θα έπρεπε να είναι δικαίωμα —δικαίωμα που πρέπει να προστατεύσουμε περισσότερο από ποτέ, με τον χάρτη πορείας για τα δικαιώματα των γυναικών. Η οδηγία για την ισορροπία επαγγελματικής και ιδιωτικής ζωής είναι ένα σημαντικό βήμα, ωστόσο η εφαρμογή της παραμένει άνιση. Χρειαζόμαστε καλύτερα συστήματα άδειας μητρότητας, πλήρως αμειβόμενα, ώστε καμία μητέρα να μην πρέπει να διαλέξει ανάμεσα στη δουλειά και στο παιδί της. Χρειαζόμαστε προσβάσιμες υπηρεσίες φροντίδας, όχι μόνο για τα βρέφη αλλά και για τα μεγαλύτερα παιδιά. Η στήριξη της μητέρας δεν πρέπει να τελειώνει στον πρώτο χρόνο του παιδιού, όπως δεν τελειώνει και ο ρόλος της. Χρειάζεται να διασφαλίσουμε την επανένταξη των γυναικών στην αγορά εργασίας μετά από μακρά άδεια, με κίνητρα για τους εργοδότες, προγράμματα επιμόρφωσης, ευέλικτες μορφές απασχόλησης που να μη στιγματίζουν.
Και, φυσικά, χρειάζεται να προστατεύσουμε το δικαίωμα στη μητρότητα. Καμία γυναίκα δεν πρέπει να φοβάται να μείνει έγκυος μήπως και χάσει τη δουλειά της. Δυστυχώς όμως το σύστημα τιμωρεί. Η εργασία μιας νέας μητέρας υποτιμάται. H θέση της δεν διασφαλίζεται. Οι ευκαιρίες εξέλιξης μειώνονται. Αν θέλουμε ο χάρτης πορείας για τα δικαιώματα των γυναικών να έχει ουσία, τότε θα πρέπει να δώσει στις γυναίκες όχι μόνο ίσες ευκαιρίες αλλά και ίσες συνθήκες για να τις αξιοποιήσει. Η Ευρώπη οφείλει να γίνει σύμμαχος της μητέρας και όχι θεατής του αγώνα της.",au nom du groupe
5,Heléne | Fritzon,S-D,SV,197391,197391," – Herr talman! Ett jämställt samhälle får inte bara bli en vision, det måste bli verklighet. Vackra ord förändrar ingenting för flickor och kvinnor som utsätts för våld och övergrepp, som inte har ett eget arbete eller makten över sitt eget liv eller som har en lön som är mycket lägre än för män.
Så nu måste kommissionen leverera en verklig jämställdhetsstrategi där vi garanterar rätten till laglig och säker abort i EU:s stadga, där vi får en samtyckeslag där endast ett ja betyder ja och där vi helt enkelt säkerställer jämställdhetsintegrering och jämställdhetsbudgetering. Slutligen vill jag också ha en feministisk utrikespolitik. Det startade en gång i Sverige. Det har varit oerhört framgångsrikt där och nu är det dags att EU gör på samma sätt.",au nom du groupe
6,Margarita | de la Pisa Carrión,PfE,ES,204414,204414," – Señor presidente, señorías, la presidenta de la Comisión es mujer, la del Parlamento, comisarias, todas ustedes. ¿Para qué? ¿Para seguir fomentando una ideología que nos traiciona como mujeres, que niega nuestra identidad, nos enfrenta con el hombre y nos victimiza?
Esta declaración no menciona ni una vez la palabra maternidad. Mira que es difícil hablando de mujer. La preocupación es que las mujeres contribuyamos al PIB. Sí, sí, que no dejemos de trabajar ni un solo día. ¿Porque queremos? Cuántas veces por obligación... con dos sueldos no se llega a fin de mes. ¿Dónde está esa libertad que prometían? Se nos promete, se nos pone en la injusta situación de tener que renunciar a una vida, a enamorarnos, a casarnos, a formar una familia.
¡Lo que estoy diciendo!
Esto nos lo tratan de mostrar como un retroceso: tener hijos, cuidar, cuidarles, amarles. Amor que luego se devuelve a la sociedad en todos los sentidos. Se olvida esta declaración de la maravillosa y necesaria contribución que supone la familia, que tampoco se menciona. Y se ignoran otras graves agresiones a la dignidad de la mujer como son la mutilación genital femenina, los matrimonios forzosos, la prostitución, la gestación subrogada. Todas ellas, desgraciadamente, una realidad en Europa.",au nom du groupe
7,Antonella | Sberna,ECR,IT,257113,257113," – Signor Presidente, onorevoli colleghi, signora Commissaria, oggi le donne in Europa guadagnano ancora il 12,7 % in meno degli uomini e rappresentano solo il 34 % dei laureati nelle STEM. Numeri che ci ricordano che la parità reale, anche da questo punto di vista, è ancora lontana.
Credo che la vera parità significhi libertà di scelta, poter lavorare, crescere, essere madri o imprenditrici, senza dover rinunciare alle proprie aspirazioni, compresa quella genitoriale. Io porto spesso i miei figli in questo contesto per provare a conciliare tutto questo, anche se non è facile per niente.
Da anni con la Gender Equality Week, che si terrà la prima settimana di novembre, promuoviamo la parità e l'inclusione. Quest'anno sarà dedicata al talento, che esploreremo in tutte le sue dimensioni. Il nuovo Piano d'azione per l'uguaglianza di genere, approvato questa settimana dall'Ufficio di presidenza del Parlamento europeo, va nella giusta direzione. Dimostra la volontà di fare dell'Europa un esempio concreto per tutte le istituzioni europee, regionali e nazionali.
Ma serve uno slancio in più. Dobbiamo costruire un vero ecosistema di sostegno alle famiglie, capace di affrontare il calo demografico, offrire servizi di qualità e rendere la parità una realtà vissuta. La mia domanda quindi per la Commissione è: siamo pronti a lavorare insieme al Parlamento in questa direzione?",au nom du groupe
8,Abir | Al-Sahlani,Renew,EN,197400,197400," – Mr President, every step towards women's rights began with a woman who refused to wait for permission to be equal. They were called difficult, emotional, demanding. I will never wait for permission either.
Today we are witnessing, across Europe and beyond, a global backlash against gender equality and a growing anti-gender movement that yesterday was outside the House – today they hold seats in this House of democracy, trying to roll back decades of progress on gender equality and silence our voices.
The roadmap that the Commission presented is very welcome. It is a renewed commitment, and I would like to thank Commissioner Hadja Lahbib for her strong and dedicated leadership for women, for a more equal Europe and world.
The priorities are clear: a world free of gender-based violence, equal opportunities and education, sexual and reproductive health, and rights for everyone.
Every step towards gender equality was once called uncomfortable, impossible or necessary until it became undeniable. Endorsing the roadmap is our next step to stand firm when gender equality is under attack, not just with promises, but with concrete, real actions.",au nom du groupe
9,Alice | Kuhnke,Verts/ALE,SV,197395,197395," – Herr talman! Det är ofta en massa prat om jämställdhet. Samtidigt attackeras och misstänkliggörs just de rörelser som gör jämställdheten verklig: kvinnojourerna, som ger tak över huvudet och en varm famn när patriarkatet visar sitt smutsigaste ansikte, aborträttsorganisationerna, som trots mordhot, fängelsedomar och attacker fortsätter försvara och praktiskt ge kvinnor rätten att bestämma över sina egna kroppar, HBTQ-organisationerna, som genomför förbjudna Prideparader och skapar trygga platser och framtidstro, trots att Orban och andra fascister försöker tysta dem.
Det är de och andra som gör jämställdhet i praktiken, i vardagen, lokalt, på gator och torg som är hjältarna. De förtjänar vårt fullständigt ovillkorliga stöd. I resurser, i lag och i handling.",au nom du groupe
10,Irene | Montero,The Left,ES,245770,245770," – Señor presidente, como decía mi compañera, esta Declaración no tiene una sola referencia al derecho al aborto. ¿Por qué? Los señores antiabortistas se llaman provida, pero quieren que las mujeres se jueguen la vida en abortos clandestinos, quieren echar a patadas a las personas migrantes, atacan a las personas LGTBI, justifican el exterminio de niños palestinos...
Ustedes no están defendiendo la vida, quieren dominar la vida de las mujeres y dicen que no estamos preparadas para decidir, lo han dicho siempre: no estábamos preparadas para abrir una cuenta en el banco, para votar, para divorciarnos... Y también quieren decidir sobre nuestros cuerpos.
¿Saben lo que sí pone en peligro la vida? Que ahora mismo, en Andalucía, hay miles de mujeres que, dos años después de hacerse un control, todavía no saben ni han sido informadas de que podían tener un cáncer de mama. Denuncian que han muerto mujeres —han muerto mujeres— por estos retrasos en el cribado, y la responsabilidad es de un Gobierno del Partido Popular que pone en riesgo la vida destrozando la sanidad pública.
Comisaria, las mujeres andaluzas merecen su atención. Actúen para que tengan atención sanitaria y psicológica urgente, para que se indemnice a las víctimas y para que la sanidad pública esté bien financiada, porque el machismo mata y las políticas feministas salvan vidas.",au nom du groupe
11,Irmhild | Boßdorf,ESN,DE,256945,256945," – Herr Präsident! Mann und Frau – mehr gibt es nicht. Es gibt nur diese beiden Geschlechter. Kein Parlament, kein Gericht und auch keine EU‑Kommission wird daran etwas ändern. Diese Entscheidung, die die Slowakei vor drei Wochen getroffen hat, kommt uns mutig vor. Sie ist aber vor allem eins: normal. Die Slowakei hat ein deutliches Signal gesetzt: Nationale Souveränität steht über ideologischen Experimenten. Familie, Kultur und Identität gehören nämlich in die Verantwortung der Völker und nicht in die Hände von EU‑Bürokraten.
Genau deshalb werden wir den Entschließungsantrag der Sozialisten ablehnen, denn dieser Antrag steht für Ideologisierung, für die Auflösung natürlicher und gesellschaftlicher Grundlagen, für die Bevormundung durch Brüssel. Wir haben eine eigene Entschließung verfasst, bei der wir klar die Linie der Slowakei unterstützen. Alle Menschen, ob männlich oder weiblich, sind gleich vor dem Gesetz und gleich an Wertigkeit. Lassen Sie uns endlich für echte Geschlechtergerechtigkeit kämpfen!",au nom du groupe
12,Mirosława | Nykiel,PPE,PL,257049,257049," – Panie Przewodniczący! Koleżanki i Koledzy! Kiedy patrzę dziś na tę salę, od lewej do prawej, to mam wrażenie, że dla niektórych kwestie równouprawnienia to wciąż wymysły kobiet, które mają wyimaginowane problemy. Chcę powiedzieć jasno – nie, to nie wymysły. To codzienne doświadczenia milionów kobiet w pracy, w polityce, w życiu prywatnym i publicznym. Nierówne płace, przemoc ekonomiczna i domowa, brak dostępu do stanowisk decyzyjnych, niedostateczna reprezentacja – lista jest długa.
I choć od dekad mówimy o równości, postęp jest dramatycznie wolny. Według danych ONZ przy obecnym tempie pełne równouprawnienie na świecie może zająć – uwaga – 286 lat. To sygnał alarmowy. Jeśli dziś nie przyspieszymy, nasze wnuczki wciąż będą walczyć o prawa, które nam w teorii już przyznano.
Dlatego rola Parlamentu Europejskiego jest kluczowa. To tutaj możemy sprawić, by równość była nie tylko pięknym hasłem, ale obowiązującym standardem. I już uspokajam wszystkich zaniepokojonych mężczyzn: nam nie chodzi o przywileje. Chodzi o równe szanse, o możliwość uczestniczenia w życiu społecznym, politycznym – bez barier, bez protekcjonalnego tonu, bez tłumaczenia, że to nie ten moment. Zapraszam panów do współpracy, bo współczesny feminizm bez mężczyzn nie istnieje.
Jako polska parlamentarzystka miałam zaszczyt wspierać kobiety w trudnych sytuacjach: ofiary przemocy, samotne matki, kobiety walczące o swoją niezależność. To trudne doświadczenia, ale wiem też, że wiele potrafimy, gdy mamy przestrzeń do działania. Współpracowałam z fantastycznymi kobietami – mądrymi, silnymi, zdeterminowanymi. Dlatego mówię dziś jedno: nie blokujcie nas! Dajcie nam równe szanse, a zbudujemy sprawiedliwą Europę.",
13,Joanna | Scheuring-Wielgus,S-D,PL,257084,257084," – Panie Przewodniczący! Dziękuję Pani Komisarz, że mamy tę nową deklarację na rzecz praw kobiet i równości płci. I dziękuję, że wreszcie Komisja zrobiła to, co moja grupa socjalistów i demokratów robi od lat. Ja przypomnę, że w poprzedniej kadencji jako socjaliści i demokraci opracowaliśmy bardzo ważny dokument, jedyny, który powstał w tej Izbie – Kartę praw kobiet, czyli zbiór wszystkich praw podstawowych, które powinny być zagwarantowane każdej kobiecie w Europie niezależnie od tego, z jakiego kraju pochodzi. I cieszę się, że część z tych praw znalazła się w tym dokumencie. Ale jak wszyscy wiemy, w polityce słowa to nie wszystko. Wiele rzeczy można obiecać, ale liczy się to, co nam uda się dowieść. I będą państwo mieli jako Komisja szansę, bo przed nami debata nad inicjatywą „My Voice, My Choice”, debata nad sprawozdaniem Parlamentu w sprawie definicji gwałtu opartej na zgodzie oraz nowa strategia na rzecz równości płci. I to są szanse dla Komisji, żeby pokazać, że prawa kobiet nie są tylko pustą deklaracją, ale prawdziwym priorytetem dla Komisji. Liczę bardzo na państwa.",
