,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
4,Andrzej | Halicki,PPE,PL,197514,197514," – Pani Przewodnicząca! Szanowna Pani Komisarz! Tak, musimy być silni, musimy być razem i musimy szybko działać, bo ta sama przewodnicząca Ursula von der Leyen przewodniczy dziś Komisji Europejskiej, ale to zupełnie nowa Komisja, w zupełnie nowych okolicznościach, mająca zupełnie nowe wyzwania, przed którymi stoimy.
„Bezpieczeństwo, Europo” to nie tylko hasło polskiej prezydencji. To już dzisiaj konkretne działania. I tu chciałbym powiedzieć kilka bardzo pozytywnych rzeczy, bo przed chwilą przyjęliśmy strategię, w której znalazła się na przykład Tarcza Wschód. Ten projekt, który nie jest projektem narodowym, nie jest projektem polskiego rządu, a projektem, który służy ochronie granic od Finlandii po Rumunię. Służy bezpieczeństwu Europy. Granice wreszcie mogą być wspomagane europejskimi środkami. Infrastruktura graniczna. Wreszcie. Ile lat straciliśmy na to, żeby się o to wreszcie skutecznie upomnieć? A przecież to jest bezpieczeństwo od wschodu po zachód, od południa do północnych krańców naszego kontynentu.
Polityka migracyjna musi być zweryfikowana i dobrze, że uzupełniona jest dzisiaj o propozycję dyrektywy powrotowej, nową politykę azylową czy finansowanie. Ale tych rewizji musi być znacznie więcej, bo jeżeli mówimy o konkurencyjności, to dlaczego w obliczu tych zagrożeń, które mamy dzisiaj, gospodarka europejska ma ponosić koszty, które przecież powinny być wyeliminowane, a przynajmniej niektóre mechanizmy zamrożone. Myślę głównie o mechanizmie ETS-u. Czy w ogóle nie powinno być nie tylko zamrożone, zlikwidowane hasło ETS2? Po co? Dlaczego ma nad nami wisieć, dzisiaj, rok 2027? Dzisiejsze wyzwania wymagają natychmiastowych odpowiedzi i reakcji. Cieszę się, że komisarz Tzitzikostas mówi o weryfikacji daty 2035. Przecież nasi wyborcy są użytkownikami samochodów. To oni jako użytkownicy będą głosować na tak lub nie, jeżeli chodzi o działania Komisji.
I wreszcie biurokracja i to simplification, to ułatwienie życia wszystkim obywatelom. Europa musi być dla obywateli. Europa musi być dla nich, jeżeli ma być przez nich akceptowana.",au nom du groupe
5,Camilla | Laureti,S-D,IT,230085,230085," – Signora Presidente, onorevoli colleghi, nei primi 100 giorni della Commissione europea il Partito popolare indica come priorità difesa, competitività, semplificazione e migrazione. Per noi non è abbastanza. Dove sono le persone, le preoccupazioni per i salari che non crescono, il lavoro di qualità, una sanità efficiente e accessibile, la salvezza del pianeta e la tenuta sociale delle nostre comunità?
Devono essere anche queste le parole d'ordine di questo tornante della storia europea, nel quale bisogna dare corpo all'autonomia strategica dell'Europa e a una difesa che sia davvero comune.
Un aumento della spesa militare per i 27 eserciti nazionali non è la soluzione: difesa comune per noi significa progetti comuni, acquisti comuni, maggiore coordinamento per una capacità di deterrenza che sia dell'Unione europea e non dei singoli Stati.
Sicurezza per noi non vuol dire soltanto armi: vuol dire rilanciare il ruolo politico dell'Europa e difendere e rafforzare il nostro modello sociale. Non possiamo pensare di costruire una difesa nazionale e non una difesa europea a discapito dei fondi di coesione e dei fondi del Next Generation.
Sono stati 100 giorni densi e difficili. Continueremo a tenere la barra dritta e continueremo a farlo per un'Europa forte, libera, giusta e che sia sociale.",au nom du groupe
6,António | Tânger Corrêa,PfE,EN,257050,257050," – Madam President, Madam Commissioner, well, in its first 100 days the European Commission promised transparency but instead we have seen allegations of corruption, abuse of power and lack of accountability. The European Union should serve its citizens, yet it has become an isolated bubble, funding its own narrative rather than fostering democratic debate.
The European Commission, in the former legislature, and the former Vice-President, Frans Timmermans, funnelled millions of euros into environmental NGOs to push the Green Deal without proper oversight. This raises serious concerns about the misuse of public funds to shape policy behind closed doors at the expense of business, jobs and families.
The European Commission allocated EUR 45 billion to the resilience and values programme, including EUR 1.5 billion to NGOs aligned with its political agenda. The issue is not defending itself, but the lack of pluralism. Public money should foster open democracy, debate, not reinforce a single political perspective.
When confronted about these things, the European Commission refuses to provide concrete answers and avoids open debate. The double standard is evident. When the EU establishment pushes its narrative, it is considered legitimate policy, but if it is challenged, it is dismissed as misinformation.
The European Commission cannot continue to operate without scrutiny. European citizens deserve to know where their money is going. Democracy cannot be just a slogan, and we will accept nothing less than full pluralism, transparency and accountability.",au nom du groupe
7,Patryk | Jaki,ECR,PL,197516,197516," – Pani Przewodnicząca! Pani Komisarz! Więc tytuł debaty jest: 100 dni Komisji Europejskiej, dowozimy obronność, migracje i konkurencyjność. I generalnie można byłoby to uznać za ironię, gdyby nie to, że temat jest tak poważny. Więc rozbijmy to na czynniki pierwsze, to znaczy co takiego dowieźliście rzekomo. Fundusz obronności ma się składać z trzech elementów: dania państwom dobrowolnej możliwości przesuwania środków z Funduszu Spójności. Powodzenia, żeby ktoś się na to zgodził. Dwa: zachęcenia państw do zwiększenia wydatków na obronność. I aby uzbierać ten fundusz, wszystkie państwa muszą się na to zgodzić. Już wczoraj nie zgodziła się Holandia. No i trzy: kolejny wspólny dług, na który muszą zgodzić się wszystkie państwa. I patrz tutaj punkt wyżej. Więc jedyne, co dowieźliście w tej sprawie póki co, to jest prezentacja w PowerPoincie. Gratulacje!
Ponadto nie będzie bezpieczeństwa w Europie bez własnego rolnictwa. A historia uczy, jak kończą państwa, które w czasie konfliktu nie mają własnej żywności. A wy chwalicie się w tym dokumencie umową z Merkosurem, która zniszczy europejskie rolnictwo.
Migracja. Tu nie dowozicie, tylko odwozicie. Ja polecam każdemu, żeby zobaczyć, co dzieje się na granicy polsko- niemieckiej, gdzie migranci po prostu są odwożeni na parkingi obok polskich hipermarketów. A dodatkowo w ogóle nie wiadomo na jakiej zasadzie właściwie zawieszono strefę Schengen. A w przyszłym roku wejdzie w życie pakiet migracyjny, który wygeneruje kolejną falę migracyjną. I będziecie rzeczywiście dowozić migrantów do ośrodków migracyjnych, co spowoduje, że zamiast na obronę zewnętrzną, będziemy więcej wydawali na obronę wewnętrzną przed obcymi we własnych krajach.
No i najzabawniejsze, że dowozicie konkurencyjność. Owszem, przedstawiliście kompas konkurencyjności, w którym np. proponujecie zmniejszyć obowiązki ideologicznego raportowania przedsiębiorcom, czyli znosicie zasadę, którą chwaliliście się pod koniec poprzedniej kadencji. Więc bardzo dzielnie walczycie sami ze sobą. Pogratulować.
Jeżeli jednak poważnie chcemy rozmawiać o konkurencyjności i silnej gospodarce i przez to o większych możliwościach na zbrojenie, nie da się tego zrobić bez wyrzucenia na śmietnik ETS1 i ETS2 i całego tego zielonego szaleństwa. Ciągle trzeba wam powtarzać, że Unia Europejska odpowiada tylko za 7% emisji dwutlenku węgla na świecie. I aby ta walka miała sens, wszystkie państwa muszą to robić jednocześnie. A emisja dwutlenku węgla co roku na świecie rośnie, więc to, co robimy, jest kompletnie bez sensu. Obciążacie europejskich przedsiębiorców i europejskich obywateli ideologicznym podatkiem, który ogranicza nasze możliwości zbrojeniowe, gospodarcze i społeczne. I z tym trzeba skończyć.",au nom du groupe
8,Irena | Joveva,Renew,SL,197447,197447," – Gospa predsednica! Spoštovani kolegice in kolegi! Prvih 100 dni delovanja nove Komisije je zaznamovalo turbulentno geopolitično okolje.
Nova administracija ZDA je pretresla na pravilih temelječo ureditev sveta. Res ne želim biti preveč kritična, ker trdno verjamem, da moramo v Evropski uniji nujno stopiti skupaj, ampak v teh zadnjih stotih dneh se je spet potrdilo, da potrebujemo korenite reforme delovanja Unije v smeri večje učinkovitosti.
In v praksi se poleg nekaj predlogov Komisije v zadnjih tednih nismo premaknili nikamor, medtem ko nam konkurenčne sile v enem dnevu lahko marsikaj postavijo na glavo in tudi nam.
Predlogi o nujnem znižanju cene energije, povečanju vlaganja v tehnologijo in ukrepi o povečanju konkurenčnosti evropskega gospodarstva so absolutno koraki v pravo smer, se pa bojim, da so premalo ambiciozni in prepozni. Zdaj je čas za bolj odločne ukrepe in Evropska unija ima še ogromno manevrskega prostora. Manjka seveda politična volja in to, da bi države članice končno uvidele, da je nacionalni interes prepleten z močjo in enotnostjo Unije.
Strinjam se s poenotenjem Evropske vojske in skupnimi viri financiranja, ampak to ne bi smelo pomeniti, da druga področja zanemarjamo. Potrebujemo investicije v infrastrukturo, energetiko, predvsem pa v ljudi. To je najboljša obramba Evropske unije.",au nom du groupe
9,Alice | Kuhnke,Verts/ALE,SV,197395,197395," – Fru talman! Klimatförändringar, demokrati på tillbakagång, ännu ett krig på vår kontinent, handelskrig och stora hot mot vår säkerhet. Med Putin, Trump, Musk och Xi Jinping och kompani är världen i desperat behov av en motkraft. EU måste vara den motkraften. EU har möjligheten att vara svaret på våra gemensamma utmaningar.
Men EU kan bara vara det om EU är en gemenskap där demokrater håller ihop. Under de senaste 100 dagarna har vi sett hur kommissionen gång på gång gått extremhögern till mötes: uppluckring och urvattning förklätt till förenkling, förhalning och försinkning av klimatmål, antidiskrimineringslagstiftning som dras tillbaka, beslutad klimatlagstiftning som ligger i skottgluggen. Att att tävla med Xi Jinpings kommunism, Trumps maktfullkomlighet och Putins aggression genom ett ”race to the bottom” är inte hur vi, hur EU blir starkt.
Rättigheter och friheter är vår styrka. Ett kompromisslöst försvar av den regelbaserade världsordningen är vår styrka. Och vårt främsta vapen, det är ett starkt samarbete mot alla de krafter som vill att EU ska splittras och tvingas huka under auktoritära krafter.",au nom du groupe
10,Leila | Chaibi,The Left,FR,197529,197529," – Madame la Présidente, «ces cent jours semblent aussi long qu’une vie», a dit Ursula von der Leyen. Je vous assure qu’ils sont encore plus longs lorsque l’on doit choisir entre remplir son frigo et payer ses factures. Depuis cent jours, la Commission européenne ne cesse de prêcher la compétitivité, la simplification et la défense. Cela se fait contre les peuples européens, qui subissent toujours plus d’austérité: contre les travailleurs, les soignants, les enseignants, les chercheurs, les agriculteurs, les étudiants – contre tous ceux qui font tenir l’Europe.
Vous trouvez 800 milliards d’euros pour l’armement en cent jours, mais en six ans vous n’avez pas daigné trouver un centime pour garantir des salaires dignes et lutter contre les inégalités ou contre la crise du logement. Imaginez, si vous aviez mis autant d’ardeur à débloquer les investissements dans le logement qu’à débloquer les dépenses militaires.
L’urgence, c’est avant tout l’urgence sociale et climatique. C’est cela, Madame von der Leyen, qui aurait dû être votre priorité en cent jours. Comme c’est long, cent jours – et il en reste encore 1 725! Courage aux Européens pour tenir durant ces mille sept cent vingt-cinq jours!",au nom du groupe
11,Ewa | Zajączkowska-Hernik,ESN,PL,257069,257069," – Pani Przewodnicząca! Mija 100 dni Komisji Europejskiej i jakie są efekty? Zero realnych reform dotyczących deregulacji. Zero realnych reform dotyczących ograniczenia Zielonego Ładu i zero realnych reform dotyczących wycofania paktu migracyjnego. Zwykle rządy podczas swoich pierwszych stu dni są rozliczane z pierwszych reform, z pierwszych rozwiązań i pierwszych działań. A my w trakcie stu dni Komisji Europejskiej możemy Komisję Europejską ocenić czy rozliczyć z debat, z postów w social mediach czy z różnego rodzaju PR-owych sztuczek, którymi Komisja Europejska chce przykryć swoją totalną bezradność.
Komisja Europejska Ursuli von der Leyen udaje, że dostrzega problemy z konkurencyjnością Unii Europejskiej i ubiera to w PR-owe sztuczki. Tymczasem sami tworzycie problem i bohatersko z tym problemem próbujecie walczyć. Sequel Komisji Europejskiej Ursuli von der Leyen powinien być podsumowany wzrostem długu Unii Europejskiej, wzrostem biurokracji, wzrostem liczby nielegalnych imigrantów, wzrostem kosztów związanych z Zielonym Ładem i wzrostem zagrożenia ekonomicznego i społecznego dla wszystkich Europejczyków.",au nom du groupe
12,Tomas | Tobé,PPE,EN,197402,197402," – Madam President, Vice-President, a clear EPP priority for the coming years is to make Europe safer and more secure. We need reforms that ensure an independent, free and prosperous Europe, speedy investments in security and defence, and we also need to pave the way for economic growth and job creation and keep cutting red tape. Citizens also rightfully want to have a European migration policy that is firm, fair and enforced.
The EPP called on the Commission to take decisive action in the first 100 days. We now welcome that we have concrete proposals on the table. But this is just the start. In Parliament, the EPP Group will push to make these initiatives even more ambitious. We need a new European security architecture. We need it actually now, I would say.
The omnibus needs to be a true game changer for our European companies. The new regulation on returns must come with strong and effective measures to ensure that those who do not have the right to be in Europe should be returned. And future initiatives – for example, the internal security strategy and the strengthening of Frontex and Europol – will be crucial to protect our Union and citizens. Europe must step up and the EPP is ready to do the task.",
13,Gabriele | Bischoff,S-D,DE,197435,197435,"Indeed, seit diese Kommission im Amt ist, hat sich die internationale Situation weiter verschlechtert, aber genauso wie die soziale Lage vieler Europäerinnen und Europäer. Wir brauchen hier mutige Initiativen für die Zukunft Europas. Und was kommt von der Kommission? Ein schlecht vorbereiteter erster Omnibus, der keinen einzigen Arbeitsplatz schafft und wo man sieht, dass die Multis da den Stift geführt haben.
Wir – und das ist auch meine Antwort an Jeroen Lenaers und die EVP – wir haben gestern mit Renew deutlich gemacht, dass wir hier über ein Paket zusammen sprechen wollen. Aber was macht die EVP? Cowboylike marschiert sie vor mit eben Verfahren, ohne mit Renew oder mit uns zu sprechen. Wenn ihr mit den Rechten das durchziehen wollt, dann hört euch noch einmal die Debatte von gestern zum Omnibus an, was für eine schiefe Ebene das ist.
Und in einer Zeit, wo wir mutige Schritte bräuchten zum europäischen gemeinsamen Beschaffungswesen: Das Parlament hat einen Vorschlag dazu vorgelegt, da zaudert die Kommission und traut sich nicht. Wir brauchen mehr Effizienz, und die schaffen wir nur europäisch.",
