,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
2,Tomas | Tobé,PPE,EN,197402,197402," – Madam President, Commissioner, the EPP Group strongly welcomes the clear and coherent position that was taken by the Commission President and the European Council last week.
We need to take back control of migration. We have common borders and therefore we need a common European response. With the adoption of the migration pact, we took the first major step that we, and not the criminal smugglers, should decide who can enter Europe.
However, it was always very clear to us that more would be needed to secure our borders and increase returns of those who do not have the right to be in Europe. The EPP want to be very clear with what we expect: a speedy and full implementation of the migration pact; a new proposal on returns presented within the first 100 days of the next Commission; increased cooperation with third countries, who should also explore new solutions like return hubs outside of Europe. We need a stronger Frontex, and on the instrumentalisation of migrants that we see from Russia and Belarus, we need a full stop.
The EPP will continue to lead the way forward, together with responsible political groups of this House. I can see that parts of the left and parts of the far right are united in their resistance to a common European policy. But EPP stands ready, together with the Commission and the Member States, to deliver.",au nom du groupe
3,Iratxe | García Pérez,S-D,ES,28298,28298," – Señora presidenta, tras diez años de desacuerdos, bloqueos y obstáculos, logramos alcanzar un acuerdo para dar solución al fenómeno migratorio. Diez años después, la familia socialista no permitirá que la carta de la pasada semana de la señora Von der Leyen entierre el pacto migratorio, un acuerdo que debemos aplicar en 2025.
La única carta que estamos obligados a cumplir es la Carta de los Derechos Fundamentales de la Unión Europea, una Carta que garantiza el derecho de asilo y prohíbe las expulsiones colectivas. Unas deportaciones indiscriminadas que no son solo una cuestión de política migratoria: representan la más indigna abdicación de los valores del proyecto europeo.
Ahora que la justicia italiana ha sentenciado que el acuerdo del Gobierno de Meloni con Albania es ilegal, la señora Von der Leyen debe abandonar su propuesta inhumana e ilegal para crear centros de deportación en terceros países. Porque es inaceptable arrodillarse ante la extrema derecha para bendecir un modelo migratorio que viola los derechos humanos.
Señorías, sabemos que la desinformación, los prejuicios y el odio al diferente son la única razón de ser de la extrema derecha. Lo que no es menos tolerable es la bochornosa actitud de una derecha que rechaza un diagnóstico de la inmigración basado en datos reales.
Y yo voy a hablar de esos datos reales. La mayoría de las proyecciones de la población de la Unión Europea alertan de que en 2025 alcanzaremos el pico de población y de que, de aquí a las próximas décadas, las personas jubiladas aumentarán en un 35 % en la población europea, que perderá treinta millones de personas en edad de trabajar.
Y ante el drama demográfico que se avecina, el Partido Popular Europeo y la extrema derecha nos dicen que los inmigrantes vienen a Europa a recibir subsidios, aunque la realidad sea que los inmigrantes usan los servicios públicos y las prestaciones sociales menos que los nacidos en la Unión. Nos dicen que los migrantes vienen a quitarnos el trabajo, aunque la realidad sea que sectores como la agricultura, la construcción o la hostelería, con un porcentaje de migrantes entre el 25 y el 50 %, se hundirían sin su mano de obra. Y también nos dicen que los migrantes ponen en peligro a nuestros seres queridos, aunque la mitad de las personas que cuidan a nuestros hijos, a nuestros padres y a nuestros abuelos son personas extranjeras.
Señorías del Partido Popular Europeo y de los falsos patriotas, ustedes saben que las entradas irregulares en la Unión Europea han caído un 42 % en el último año. Utilizan el dolor de seres humanos que huyen de la muerte y la miseria para generar miedo y alcanzar el poder. Frente a la crueldad de las medidas que ustedes esconden bajo el eufemismo de «innovadoras», la única solución posible es una política migratoria humanista, ordenada y segura. Una política migratoria que amplíe los acuerdos de migración circular con terceros países para facilitar las contrataciones en origen. Una política migratoria que impulse el desarrollo económico y la estabilidad política de los países de origen y que ayude con ayudas al desarrollo para combatir la inseguridad alimentaria y, al mismo tiempo, una política migratoria implacable en la lucha contra las mafias que trafican con seres humanos.
Señorías, las migraciones siempre han sido uno de los mayores motores del desarrollo de las naciones. Son el odio y la xenofobia los que destruyen las naciones. Acoger a quienes vienen de fuera buscando una vida mejor no solo es un deber al que nos obliga la historia de Europa, no solamente es defender los derechos y las libertades del mayor espacio democrático del mundo, es también un camino sin vuelta atrás para garantizar el mejor Estado del bienestar en el que vivimos.",au nom du groupe
4,Kinga | Gál,PfE,HU,28150,28150," – Tisztelt Elnök Asszony! Számos rossz döntése mellett a leköszönő Bizottság egyik legnagyobb hibája a migrációs paktum áterőltetése volt. A régi rossz megoldások helyett az illegális migráció megállítására, hatékony külső határvédelemre, a bevándorló kérelmek Európán kívüli elbírálására, a származási és tranzitországokkal való együttműködésre, tényleges visszatoloncolásra van szükség végre. Különben az ellenőrizetlen tömeges migráció tönkreteszi Európát és a schengeni szabad mozgást. Migrációs válság van, a tagállamok vezetői egyre többen lázadnak a hibás döntések ellen. Németország belső határellenőrzést vezet be, Lengyelország pedig felfüggeszti az uniós migrációs szabályok alkalmazását.
A magyar kormány 2015 óta hangoztatja és cselekszi is a külső határvédelem megerősítését, az illegális bevándorlók megállítását, de nekünk ezért csak büntetés járt. Botrányos és méltatlan az, hogy az Európai Bizottság 200 millió euróra bünteti, kéri számon Magyarországot, amiért megvédi Európa külső határait. Miközben csendben pedig egyetértenek abban, hogy a külső határok védelme kötelezettség, nem bűn. Micsoda kétszínűség! Micsoda hipokrácia! Ez így igaz. A hat év börtönnel fenyegetett Salvini olasz belügyminiszter esetében is, elfogadhatatlan. Az illegális migráció erőltetése szétfeszíti az Uniót, szétveri az európai együttműködést, ezért biztosítani kell a tagállamoknak a hibás brüsszeli politikából való kimaradás lehetőségét. Hajítsák sutba végre a rossz migrációs paktumot, és állítsák le a Magyarországot sújtó büntetéseket!",au nom du groupe
5,Nicola | Procaccini,ECR,IT,197820,197820,"eco-chic e basta immigrazione illegale.
Noi, che crediamo davvero nella parola democrazia, senza bisogno di doverlo scrivere nel nome del partito o del gruppo parlamentare, pensiamo che non si debba tradire la volontà popolare. Fino ad oggi si è seguita in Europa la linea no borders della sinistra: abbiamo avuto migliaia di migranti morti in mare, un milione di mancati rimpatri e abbiamo avuto le nostre città consegnate al degrado e all'insicurezza.
Direi che è giunto il momento di cambiare linea: è tempo di governare l'immigrazione. Non entra chiunque ma solo chi è davvero perseguitato, chi possiamo accogliere con dignità e possibilità di integrazione. Per fare questo dobbiamo trattare il fenomeno migratorio prima che arrivi sul territorio europeo.
Collega Perez, l'esternalizzazione è già nel nuovo patto. È la ragione per cui è stato istituito un fondo economico apposito ed è la ragione per cui il nuovo patto può essere considerato come un primo piccolo passo nella giusta direzione.
Affrontare la questione migratoria al di fuori dei confini europei evita che i migranti paghino migliaia di dollari per consegnare la loro vita nelle mani degli scafisti; evita che, una volta arrivati, diventino manodopera per le mafie; ed evita che un cancelliere socialista decida di ripristinare le frontiere all'interno dell'Unione europea, mentre, all'insaputa dei cittadini tedeschi, con le loro tasse, finanzia le navi ONG che alimentano il traffico di esseri umani nel Mediterraneo.
Aiutare i Paesi di origine e transito dei migranti favorendone lo sviluppo economico e sociale, chiedere aiuto a Paesi terzi democratici, come l'Albania, non è né di destra né di sinistra: è semplicemente buon senso. Ed è ciò che ha iniziato a fare l'Italia, ottenendo risultati inimmaginabili fino a poco tempo fa. Finalmente lo hanno capito anche alcuni governi socialisti, come quello inglese o danese.
Onestamente, nessuno può sapere se e quanto funzionerà una nuova politica europea dell'immigrazione. Di sicuro sappiamo che non ha funzionato quella praticata fino ad oggi, ovvero la vostra.",au nom du groupe
6,Valérie | Hayer,Renew,FR,135511,135511," – Madame la Présidente, Madame la Commissaire, chers collègues, quarante-huit heures: voilà le temps qu’aura duré le séjour des douze migrants déplacés en Albanie. Comment peut-on vouloir s’inspirer d’un tel échec? Outre-Manche, les conservateurs britanniques avaient promis un effet dissuasif en signant un accord avec le Rwanda; résultat: 18 % de migrants en plus. En Italie, Mme Meloni avait promis un blocus naval pour décourager les traversées; résultat: les arrivées ont explosé.
Aujourd’hui, les transferts vers l’Albanie n’ont tenu que quelques heures et sont une gabegie, une vraie, car, chers collègues, à la crise du coût de la vie s’ajoute la crise du coût du populisme. En 2024, 12 migrants dans un centre en Albanie, ce sont 65 millions d’euros: 5 millions d’euros par migrant! Une somme astronomique, aux frais du contribuable, pour une politique qui, non seulement, ne respecte en aucun cas nos valeurs, mais qui en plus ne fonctionne pas.
Chers collègues, ces responsables politiques se leurrent. Avec leurs fausses solutions, c’est aussi notre souveraineté qu’ils bradent. En effet, où est la souveraineté quand on confie sa politique régalienne à un tiers? Où sont la souveraineté et l’indépendance quand on se met entre les mains d’un autre?
Oui à une politique migratoire efficace. L’efficacité, c’est de contrôler ces migrants dès qu’ils arrivent sur notre sol. L’efficacité, c’est de les enregistrer dans une base de données commune. L’efficacité, c’est d’accélérer le traitement des demandes, pour protéger celles et ceux qui peuvent légitimement se voir accorder l’asile et pour renvoyer au plus vite les autres. Cette efficacité, chers collègues, a un nom: c’est le pacte sur la migration et l’asile, que nous avons voté dans cet hémicycle au printemps dernier.
J’en appelle aux 27: transposez le pacte sur la migration et l’asile entièrement et sans plus attendre. Complétons ces mesures, révisons la directive retour et mettons fin à l’instrumentalisation des migrants par la Russie, mais résistons à la cacophonie des mesures nationales et à la démagogie des fausses solutions miracles. L’efficacité, pas les effets de manche. Renforçons notre réponse européenne à ce défi européen.",au nom du groupe
7,Tineke | Strik,Verts/ALE,EN,197772,197772," – Madam President, dear Commissioner, return policies have been the talk of the town for years now. Member States complain about the lack of cooperation by countries of origin, but they are silent about the very small number of readmission requests that they make. They insist on harsher rules to deport people, but they don't mention their bureaucratic failures to return people under the current rules.
Commissioner, it's your task to make sure that Member States do their homework and to propose laws when they are necessary, in a manner that is evidence‑based and focused on solving the issue effectively. But in von der Leyen's announcement of a new legislative proposal on returns, she allows Member States to shift out their responsibility. In these so-called return hubs, people will most probably be put in limbo, in indefinite detention, having no rights or perspective. That's not sustainable return. But that's a great way for Member States to circumvent their EU obligations.
The Commission should not facilitate this, but ensure that Member States use all the current possibilities and invest finally in effective and equal cooperation with countries of origin. I therefore urge you, Commissioner, not to be distracted by populist rhetoric, but to focus on actual solutions. Spurring tougher and tougher language on returns is the easy thing to do. Actually fixing the shortcomings and acting in line with human rights is the right thing to do.",au nom du groupe
8,Estrella | Galán,The Left,ES,257012,257012," – Señora presidenta, señora comisaria, la palabra más repetida en su discurso esta mañana ha sido retorno, retorno y retorno. ¿De verdad es esa la miope mirada que queremos aplicar a la gestión de las migraciones? Construir cárceles para las personas refugiadas en Europa es una barbaridad: campos de concentración para seres humanos cuyo único delito ha sido huir para poner su vida a salvo. ¿Se imaginan que hubiéramos hecho esto con las personas ucranianas que huyeron de la invasión rusa?
La señora von der Leyen ha cruzado una línea roja a cambio de un puñado de votos. ¿Hasta dónde vamos a permitir que la señora Meloni gobierne Europa? La propuesta de abrir guantánamos en países vecinos que no respetan los derechos humanos es ilegal, inmoral e inhumano. El acuerdo entre Italia y Albania viola el acceso al derecho de asilo y el Derecho internacional, vulnerando el principio de no devolución.
Estas fórmulas innovadoras que ahora nos inventamos para externalizar el asilo y las fronteras son, en realidad, una violación de los derechos humanos y un fracaso ya demostrado desde hace décadas. ¿De verdad quieren innovar? Apliquen el Derecho internacional, actúen con humanidad, abran vías legales y seguras para que las personas no se jueguen la vida en el mar: esa es la única gestión eficaz de las migraciones, coherente con los principios y valores europeos que la señora Meloni desprecia, lo que parece que queremos comprarle.",au nom du groupe
9,Sarah | Knafo,ESN,FR,256924,256924," – Madame la Présidente, chers collègues, on traverse Bruxelles et on se demande: «Suis-je encore en Belgique?» On arrive à Strasbourg et, dans le tramway, on se surprend à tenir son téléphone très fort, des deux mains. On longe la rue qui nous ramène chez nous et que l’on connaît par cœur, mais on ne peut pas s’empêcher de regarder derrière et de presser le pas. Vous avez beau être de gauche, ces sentiments, vous les avez vécus. Si vous êtes trop aveuglés pour vous l’avouer, vos enfants, eux, se l’avouent, et ils en souffrent. On se sent dépossédé. On n’est plus chez soi nulle part. Ce n’est pas nous qui avons quitté notre pays, mais c’est comme si notre pays nous avait quitté.
Pourtant, ce n’est pas fini. Pourtant, ce n’est pas trop tard. Nous sommes atteints d’un mal dont le remède existe. C’est l’immigration qui a transformé nos pays, et ce n’est pas une maladie incurable. Nous avons des frontières à surveiller? Soit. Des dizaines de pays le font, nous l’avons fait pendant des siècles, et il suffit de s’y remettre.
Cinq cent mille nouveaux immigrés par an, ce serait impossible à arrêter? C’est faux. Ce ne sont que des titres de séjour, de simples documents que nos fonctionnaires prennent le soin de tamponner et d’offrir à des étrangers. Il suffit de leur demander d’arrêter. C’est aussi simple que cela. Si les étrangers sous OQTF refusent de partir de leur plein gré, ils n’auront plus le choix. C’est nous qui décidons de qui nous accueillons et de qui nous expulsons.
Les politiciens détestent ce bon sens. Ils disent qu’il y a des verrous qui nous empêchent, qu’on ne connaît pas le dossier. Leurs solutions à eux sont tellement plus élaborées: ne rien changer. Si nous retrouvons le sens commun tout de suite, dans quelques années, nous aurons du mal à croire que nous avions pu nous laisser aller à ce point et tomber aussi bas. Mais si nous ne nous ressaisissons pas, les historiens chercheront longtemps pourquoi de si grands peuples, si puissants, se sont laissés mourir sans réagir. Il est encore temps. Réagissons.",au nom du groupe
10,Jeroen | Lenaers,PPE,EN,95074,95074," – Madam President, I am confused. I listened to the Commissioner from our socialist colleagues having a very constructive and balanced approach to migration, doing more to counter illegal migration, working harder to improve returns – an agenda that was embraced also by the European Council last week, including all the socialist leaders there. And then I listened to the leader of the socialists in this House, and I only hear, 'No, no, no. It's all extreme right.' Is Ms Dalli extreme right all of a sudden? Is Prime Minister Sánchez extreme right? Let's embrace the fact that leaders actually from left‑wing to right‑wing governments, from east to west and north to south, came together on an idea that more commitments are necessary.
Indeed, returns are down. Arrivals have been down in recent years because of the very agreements with third countries that you so fiercely opposed in this House.
So yes, this is not about burying the pact. It is about implementing the pact, but also realising that more is necessary. As President von der Leyen wrote, we cannot be complacent. The pact is a huge achievement, but we need to do more, especially on returns. One in five people who were told to return actually go back to their country of origin. In 2023, this was 350 000 people.
Also, for the colleagues on the left, if we want to keep public support, if we want to keep resources to take care of real refugees, we need to improve this and we need to do it together in a spirit of compromise. So let's put new ideas on the table. Like the Council said, let's dare to think outside the box and let's do it quickly.",
11,Ana Catarina | Mendes,S-D,PT,257053,257053," – Senhora Presidente, Senhora Comissária, Caros Colegas, eu julgo que é preciso sermos mesmo muito claros sobre a proposta da Comissão e do Conselho para as migrações, porque esta medida é, mesmo, contra os valores do projeto europeu. É um erro, é desumano, é a externalização das fronteiras. Caros Colegas, é uma afronta aos direitos humanos. Não sou apenas eu que o digo. O sistema judicial italiano e o próprio Tribunal de Justiça da União também o dizem.
O facto de a presidente da Comissão Europeia sugerir que a União Europeia siga soluções inovadoras, como as que estão no Protocolo da Albânia‑Itália, deve não só preocupar‑nos, como também não nos silenciar. Relembro, aqui, a decisão judicial italiana que ordenou o regresso a Itália dos imigrantes transferidos para o centro de retenção nos arredores de Tirana, por não considerar os países de origem, Egito e Bangladexe, países seguros.
Relembro, Caros Colegas, a Convenção de Genebra, a Carta Europeia dos Direitos Fundamentais e, mais recentemente, a decisão do Tribunal de Justiça da União Europeia sobre o caso relativo à República Checa, que refere: «um país fora do bloco não pode ser declarado seguro, a menos que todo o seu território seja considerado livre de perigo».
E, Meus Caros Colegas, nós não estamos a falar de dinheiro, nós estamos a falar de vidas humanas. A política de externalização das fronteiras é verdadeiramente um erro, porque destrói as vidas das pessoas. Cumpramos o projeto europeu.
(A oradora aceita responder a uma pergunta «cartão azul»)",
